0,1,2
автомобиль,автомобиля,автомобилей
автономная,автономных,автономных
автоцистерна,автоцистерны,автоцистерн
аналогичный,аналогичных,аналогичных
был,было,было
водоисточник,водоисточника,водоисточников
возгорание,возгорания,возгораний
гидрант,гидранта,гидрантов
город,города,городов
ребёнок,ребёнка,детей
ребенок,ребенка,детей
диаграмма,диаграммы,диаграмм
день,дня,дней
единица,единицы,единиц
загорание,загорания,загораний
зарегистрирован,зарегистрировано,зарегистрировано
зафиксирован,зафиксировано,зафиксированы
здание,здания,зданий
источник,источника,источников
километр,километра,километров
край,края,краёв
кран,крана,кранов
критерий,критерия,критериев
год,года,лет
летальный,летальных,летальных
ликвидирован,ликвидировано,ликвидировано
место,места,мест
месяц,месяца,месяцев
метр,метра,метров
миллиметр,миллиметра,миллиметров
минута,минуты,минут
область,области,областей
обнаружен,обнаружено,обнаружено
обстоятельство,обстоятельства,обстоятельств
объект,объекта,объектов
округ,округа,округов
оперативное,оперативных,оперативных
организация,организации,организаций
отделение,отделения,отделений
отделению,отделения,отделений
ошибка,ошибки,ошибок
переезд,переезда,переездов
период,периода,периодов
погибал,погибали,погибало
погиб,погибли,погибло
погибший,погибших,погибших
подразделение,подразделения,подразделений
подъезд,подъезда,подъездов
подобный,подобных,подобных
пожар,пожара,пожаров
пожарный,пожарных,пожарных
показатель,показателя,показателей
получил,получили,получили
помещение,помещения,помещений
пострадал,пострадали,пострадали
пострадавший,пострадавших,пострадавших
потушен,потушено,потушено
проём,проёма,проемов
производственное,производственных,производственных
произошёл,произошло,произошло
произошел,произошло,произошло
прочий,прочих,прочих
раз,раза,раз
различие,различия,различий
район,района,районов
расчет,расчета,расчетов
расчёт,расчёта,расчётов
реконструировалось,реконструировались,реконструировались
регистрировалось,регистрировались,регистрировались
регистрировался,регистрировались,регистрировались
реконструируемый,реконструируемых,реконструируемых
республика,республики,республик
рисунок,рисунка,рисунков
сантиметр,сантиметра,сантиметров
сельский населенный пункт,сельских населенных пункта,сельских населенных пунктов
система,системы,систем
случай,случая,случаев
случае,случаях,случаях 
сооружение,сооружения,сооружений
спасён,спасены,спасено
спасался,спасалось,спасалось
способствующее,способствующих,способствующих
средство,средства,средств
строение,строения,строений
строящийся,строящихся,строящихся
субъект,субъекта,субъектов
сухотруб,сухотруба,сухотрубов
тип,типа,типов
тонна,тонны,тонн
травмирован,травмированы,травмировано
травмированный,травмированных,травмированных
транспортный,транспортных,транспортных
уничтожен,уничтожены,уничтожено
уничтожалась,уничтожалось,уничтожалось
условие,условия,условий
установка,установки,установок
фактор,фактора,факторов
федеральный,федеральных,федеральных
час,часа,часов
человек,человека,человек
эвакуирован,эвакуированы,эвакуировано
эвакуировался,эвакуировалось,эвакуировалось
